School District,City,County,State
River Valley Local School District,Caledonia,Marion,Ohio
River View Local School District,Warsaw,Coshocton,Ohio
Rock Hill Local School District,Ironton,Lawrence,Ohio
Rocky River City School District,Rocky River,Cuyahoga,Ohio
Rolling Hills Local School District,Cambridge,Guernsey,Ohio
Rootstown Local School District,Rootstown,Portage,Ohio
Rossford Exempted Village School District,Rossford,Wood,Ohio
Ross Local School District,Hamilton,Butler,Ohio
Russia Local School District,Russia,Shelby,Ohio
Salem City School District,Salem,Columbiana,Ohio
Sandusky City School District,Sandusky,Erie,Ohio
Sandy Valley Local School District,Magnolia,Stark,Ohio
Scioto Valley Local School District,Piketon,Pike,Ohio
Sebring Local School District,Sebring,Mahoning,Ohio
Seneca East Local School District,Attica,Seneca,Ohio
Shadyside Local School District,Shadyside,Belmont,Ohio
Shaker Heights City School District,Shaker Heights,Cuyahoga,Ohio
Shawnee Local School District,Lima,Allen,Ohio
Sheffield-Sheffield Lake City School District,Sheffield Lake,Lorain,Ohio
Shelby City School District,Shelby,Richland,Ohio
Sidney City School District,Sidney,Shelby,Ohio
Solon City School District,Solon,Cuyahoga,Ohio
South Central Local School District,Greenwich,Huron,Ohio
Southeastern Local School District,South Charleston,Clark,Ohio
Southeastern Local School District,Londonderry,Ross,Ohio
Southeast Local School District,Apple Creek,Wayne,Ohio
Southern Local School District (Columbiana County),Salineville,Columbiana,Ohio
Southern Local School District (Meigs County),Racine,Meigs,Ohio
Southern Local School District (Perry County),New Lexington,Perry,Ohio
South Euclid-Lyndhurst City School District,South Euclid,Cuyahoga,Ohio
Southington Local School District,Southington,Trumbull,Ohio
South Point Local School District,South Point,Lawrence,Ohio
South Range Local School District,North Lima,Columbiana,Ohio
South-Western City Schools,Grove City,Franklin,Ohio
Southwest Licking Local School District,Pataskala,Licking,Ohio
Southwest Local School District,Harrison,Hamilton,Ohio
Spencerville Local School District,Spencerville,Allen,Ohio
Springboro Community City School District,Springboro,Warren,Ohio
Springfield City School District,Springfield,Clark,Ohio
Springfield Local School District (Lucas County),Holland,Lucas,Ohio
Springfield Local School District (Mahoning County),New Springfield,Mahoning,Ohio
Springfield Local School District (Summit County),Akron,Summit,Ohio
St. Bernard-Elmwood Place City School District,St. Bernard,Hamilton,Ohio
St. Clairsville-Richland City School District,St. Clairsville,Belmont,Ohio
Steubenville City School District,Steubenville,Jefferson,Ohio
St. Henry Consolidated Local School District,St. Henry,Mercer,Ohio
St. Marys City School District,St. Marys,Auglaize,Ohio
Stow-Munroe Falls City School District,Stow,Summit,Ohio
Strasburg-Franklin Local School District,Strasburg,Tuscarawas,Ohio
Streetsboro City School District,Streetsboro,Portage,Ohio
Strongsville City School District,Strongsville,Cuyahoga,Ohio
Struthers City School District,Struthers,Mahoning,Ohio
Stryker Local School District,Stryker,Williams,Ohio
Swanton Local School District,Swanton,Fulton,Ohio
Switzerland of Ohio Local School District,Woodsfield,Monroe,Ohio
Sycamore Community School District,Cincinnati,Hamilton,Ohio
Sylvania City School District,Sylvania,Lucas,Ohio
Symmes Valley Local School District,Willow Wood,Lawrence,Ohio
Talawanda City School District,Oxford,Butler,Ohio
Tallmadge City School District,Tallmadge,Summit,Ohio
Teays Valley Local School District,Ashville,Pickaway,Ohio
Tecumseh Local School District,New Carlisle,Clark,Ohio
Three Rivers Local School District,Cleves,Hamilton,Ohio
Tiffin City School District,Tiffin,Seneca,Ohio
Tipp City Exempted Village School District,Tipp City,Miami,Ohio
Toledo Public Schools,Toledo,Lucas,Ohio
Toronto City School District,Toronto,Jefferson,Ohio
Triad Local School District,North Lewisburg,Champaign,Ohio
Tri-County North Local School District,Lewisburg,Preble,Ohio
Trimble Local School District,Glouster,Athens,Ohio
