School District,City,County,State,,,,,,,,,,"Alexander, Anamoose, Menoken, Ashley, Wimbledon, Beach, Belcourt, Belfield, Beulah, Medora, Bismarck, Bottineau, Bowbells, Bowman, Lignite, Carrington, Cavalier, Center, Casselton, Buxton, Petersburg, Devils Lake, Dickinson, Crosby, Drake, Drayton, Dunseith, Edgeley, Trenton, Elgin, Ellendale, Emerado, Enderlin, Fairmount, Fargo, Fessenden, Finley, Flasher, Fordville, Fort Ransom, Fort Totten, Fort Yates, Gackle, Garrison, Glenburn, Glen Ullin, Grafton, Grafton, Grand Forks, Grenora, Cooperstown, Hankinson, Harvey, Hatton, Hazelton, Hazen, Hebron, Hettinger, Hillsboro, Hope, Cartwright, Jamestown, Kenmare, Kensal, Steele, Killdeer, Kindred, Kulm, Lakota, LaMoure, Langdon, Larimore, Leeds, Plaza, Lidgerwood, Linton, Lisbon, Marion, St. Anthony, Golva, Maddock, Mandan, Mandaree, Manning, Manvel, Mapleton, Tower City, Marmarth, Max, Mayville, McClusky, Watford City, Medina, Menoken, Glenfield, Inkster, Milnor, Minnewaukan, Minot, Minto, Mohall, Montpelier, Mott, Rolla, Munich, Napoleon, Bismarck, Minot, Ray, Newburg, New England, New Rockford, New Salem, New Town, Walhalla, Hunter, Gwinner, Cando, Northwood, Oakes, Oberon, Park River, Parshall, Pingree, Powers Lake, Richardton, Colfax, Rolette, Carson, Rugby, Forman, Sawyer, Scranton, Selfridge, Solen, South Heart, Minot, Stanley, Starkweather, Sterling, St. John, Strasburg, Surrey, Mandan, Towner, Thompson, Tioga, Turtle Lake, Halliday, Underwood, Des Lacs, Valley City, Hoople, Velva, Wahpeton, Warwick, Washburn, West Fargo, Westhope, Roseglen, Williston, Wilton, Wing, Wishek, Wyndmere, East Fairview, Zeeland"
South Prairie Public School District,Minot,Ward,North Dakota,,,,,,,,,,
Stanley Public School District,Stanley,Mountrail,North Dakota,,,,,,,,,,
Starkweather Public School District,Starkweather,Ramsey,North Dakota,,,,,,,,,,
Sterling Public School District,Sterling,Burleigh,North Dakota,,,,,,,,,,
St. John Public School District,St. John,Rolette,North Dakota,,,,,,,,,,
Strasburg Public School District,Strasburg,Emmons,North Dakota,,,,,,,,,,
Surrey Public School District,Surrey,Ward,North Dakota,,,,,,,,,,
Sweet Briar Public School District,Mandan,Morton,North Dakota,,,,,,,,,,
TGU Public School District,Towner,McHenry,North Dakota,,,,,,,,,,
Thompson Public School District,Thompson,Grand Forks,North Dakota,,,,,,,,,,
Tioga Public School District,Tioga,Williams,North Dakota,,,,,,,,,,
Turtle Lake-Mercer Public School District,Turtle Lake,McLean,North Dakota,,,,,,,,,,
Twin Buttes Public School District,Halliday,Dunn,North Dakota,,,,,,,,,,
Underwood Public School District,Underwood,McLean,North Dakota,,,,,,,,,,
United Public School District,Des Lacs,Ward,North Dakota,,,,,,,,,,
Valley City Public School District,Valley City,Barnes,North Dakota,,,,,,,,,,
Valley-Edinburg Public School District,Hoople,Walsh,North Dakota,,,,,,,,,,
Velva Public School District,Velva,McHenry,North Dakota,,,,,,,,,,
Wahpeton Public School District,Wahpeton,Richland,North Dakota,,,,,,,,,,
Warwick Public School District,Warwick,Benson,North Dakota,,,,,,,,,,
Washburn Public School District,Washburn,McLean,North Dakota,,,,,,,,,,
West Fargo Public School District,West Fargo,Cass,North Dakota,,,,,,,,,,
Westhope Public School District,Westhope,Bottineau,North Dakota,,,,,,,,,,
White Shield School District,Roseglen,McLean,North Dakota,,,,,,,,,,
Williston Basin Public School District 7,Williston,Williams,North Dakota,,,,,,,,,,
Wilton Public School District,Wilton,McLean,North Dakota,,,,,,,,,,
Wing Public School District,Wing,Burleigh,North Dakota,,,,,,,,,,
Wishek Public School District,Wishek,McIntosh,North Dakota,,,,,,,,,,
Wyndmere Public School District,Wyndmere,Richland,North Dakota,,,,,,,,,,
Yellowstone Public School District,East Fairview,McKenzie,North Dakota,,,,,,,,,,
Zeeland Public School District,Zeeland,McIntosh,North Dakota,,,,,,,,,,
