School District,City,County,State
Southern Door County School District,Brussels,Door,Wisconsin
South Milwaukee School District,South Milwaukee,Milwaukee,Wisconsin
South Shore School District,Port Wing,Bayfield,Wisconsin
Southwestern Wisconsin School District,Hazel Green,Grant,Wisconsin
Sparta Area School District,Sparta,Monroe,Wisconsin
Spencer School District,Spencer,Marathon,Wisconsin
Spooner Area School District,Spooner,Washburn,Wisconsin
Spring Valley School District,Spring Valley,Pierce,Wisconsin
Stanley-Boyd Area School District,Stanley,Chippewa,Wisconsin
St. Croix Central School District,Hammond,St. Croix,Wisconsin
St. Croix Falls School District,St. Croix Falls,Polk,Wisconsin
Stevens Point Area Public School District,Stevens Point,Portage,Wisconsin
St. Francis School District,St. Francis,Milwaukee,Wisconsin
Stockbridge School District,Stockbridge,Calumet,Wisconsin
Stone Bank School District,Oconomowoc,Waukesha,Wisconsin
Stoughton Area School District,Stoughton,Dane,Wisconsin
Stratford School District,Stratford,Marathon,Wisconsin
Sturgeon Bay School District,Sturgeon Bay,Door,Wisconsin
Sun Prairie Area School District,Sun Prairie,Dane,Wisconsin
Superior School District,Superior,Douglas,Wisconsin
Suring School District,Suring,Oconto,Wisconsin
Swallow School District,Hartland,Waukesha,Wisconsin
Thorp School District,Thorp,Clark,Wisconsin
Three Lakes School District,Three Lakes,Oneida,Wisconsin
Tigerton School District,Tigerton,Shawano,Wisconsin
Tomah Area School District,Tomah,Monroe,Wisconsin
Tomahawk School District,Tomahawk,Lincoln,Wisconsin
Tomorrow River School District,Amherst,Portage,Wisconsin
Trevor-Wilmot Consolidated School District,Trevor,Kenosha,Wisconsin
Tri-County Area School District,Plainfield,Waushara,Wisconsin
Turtle Lake School District,Turtle Lake,Barron,Wisconsin
Twin Lakes No. 4 School District,Twin Lakes,Kenosha,Wisconsin
Two Rivers School District,Two Rivers,Manitowoc,Wisconsin
Union Grove Joint No. 1 School District,Union Grove,Racine,Wisconsin
Union Grove Union High School District,Union Grove,Racine,Wisconsin
Unity School District,Balsam Lake,Polk,Wisconsin
Valders Area School District,Valders,Manitowoc,Wisconsin
Verona Area School District,Verona,Dane,Wisconsin
Viroqua Area School District,Viroqua,Vernon,Wisconsin
Wabeno Area School District,Wabeno,Forest,Wisconsin
Walworth Joint No. 1 School District,Walworth,Walworth,Wisconsin
