School District,City,County,State
Giant City Community Consolidated School District,Makanda,Jackson,Illinois
Gibson City-Melvin-Sibley Community Unit School District,Gibson City,Ford,Illinois
Gifford Community Consolidated School District,Gifford,Champaign,Illinois
Gillespie Community Unit School District,Gillespie,Macoupin,Illinois
Glenbard Township High School District,Glen Ellyn,DuPage,Illinois
Glenbrook High School District,Northbrook,Cook,Illinois
Glencoe School District,Glencoe,Cook,Illinois
Glen Ellyn School District,Glen Ellyn,DuPage,Illinois
Glenview Community Consolidated School District,Glenview,Cook,Illinois
Golf Elementary School District,Morton Grove,Cook,Illinois
Goreville Community Unit School District,Goreville,Johnson,Illinois
Gower School District,Willowbrook,DuPage,Illinois
Grand Prairie Community Consolidated School District,Centralia,Marion,Illinois
Grand Ridge Community Consolidated School District,Grand Ridge,LaSalle,Illinois
Granite City Community Unit School District,Granite City,Madison,Illinois
Grant Community Consolidated School District,Fox Lake,Lake,Illinois
Grant Community High School District,Fox Lake,Lake,Illinois
Grant Park Community Unit School District,Grant Park,Kankakee,Illinois
Grass Lake School District,Antioch,Lake,Illinois
Grayslake Community High School District,Grayslake,Lake,Illinois
Grayslake Consolidated Community School District,Grayslake,Lake,Illinois
Grayville Community Unit School District,Grayville,Edwards,Illinois
Greenfield Community Unit School District,Greenfield,Greene,Illinois
Greenview Community Unit School District,Greenview,Menard,Illinois
Griggsville-Perry Community Unit School District,Griggsville,Pike,Illinois
Gurnee School District,Gurnee,Lake,Illinois
Hall High School District,Spring Valley,Bureau,Illinois
Hamilton Community Consolidated School District,Hamilton,Hancock,Illinois
Hamilton County Community Unit School District,McLeansboro,Hamilton,Illinois
Hampton School District,Hampton,Rock Island,Illinois
Hardin County Community Unit School District,Elizabethtown,Hardin,Illinois
Harlem Unit School District,Machesney Park,Winnebago,Illinois
Harmony Emge School District,Belleville,St. Clair,Illinois
Harrisburg Community Unit School District,Harrisburg,Saline,Illinois
Harrison School District,Wonder Lake,McHenry,Illinois
Hartsburg-Emden Community Unit School District,Hartsburg,Logan,Illinois
Harvard Community Unit School District,Harvard,McHenry,Illinois
Harvey School District,Harvey,Cook,Illinois
Havana Community Unit School District,Havana,Mason,Illinois
Hawthorn Community Consolidated School District,Vernon Hills,Lake,Illinois
Hazel Crest School District,Hazel Crest,Cook,Illinois
Henry-Senachwine Community Unit School District,Henry,Marshall,Illinois
Heritage Community Unit School District,Broadlands,Champaign,Illinois
Herrin Community Unit School District,Herrin,Williamson,Illinois
Herscher Community Unit School District,Herscher,Kankakee,Illinois
Heyworth Community Unit School District,Heyworth,McLean,Illinois
Hiawatha Community Unit School District,Kirkland,DeKalb,Illinois
Highland Community Unit School District,Highland,Madison,Illinois
High Mount School District,High Mount,St. Clair,Illinois
Hillsboro Community Unit School District,Hillsboro,Montgomery,Illinois
Hillside School District,Hillside,Cook,Illinois
Hinckley-Big Rock Community Unit School District,Hinckley,DeKalb,Illinois
Hinsdale Community Consolidated School District,Hinsdale,DuPage,Illinois
Hinsdale Township High School District,Hinsdale,DuPage,Illinois
Hollis Consolidated School District,North Pekin,Tazewell,Illinois
Homer Community Consolidated School District,Homer Glen,Will,Illinois
Homewood-Flossmoor Community High School District,Flossmoor,Cook,Illinois
Homewood School District,Homewood,Cook,Illinois
Hononegah Community High School District,Rockton,Winnebago,Illinois
Hoopeston Area Community Unit School District,Hoopeston,Vermilion,Illinois
Hoover-Schrum Memorial School District,Calumet City,Cook,Illinois
Huntley Community School District,Huntley,McHenry,Illinois
Hutsonville Community Unit School District,Hutsonville,Crawford,Illinois
Illini Bluffs Community Unit School District,Glasford,Peoria,Illinois
Illini Central Community Unit School District,Mason City,Mason,Illinois
Illini West High School District,Carthage,Hancock,Illinois
Illinois Valley Central Unit School District,Chillicothe,Peoria,Illinois
Indian Creek Community Unit District,Shabbona,DeKalb,Illinois
Indian Prairie School District,Naperville,DuPage,Illinois
Indian Springs School District,Justice,Cook,Illinois
Iroquois County Community Unit School District,Watseka,Iroquois,Illinois
Iroquois West Community Unit School District,Gilman,Iroquois,Illinois
Irvington Community Consolidated School District,Irvington,Washington,Illinois
Itasca School District,Itasca,DuPage,Illinois
Iuka Community Consolidated School District,Iuka,Marion,Illinois
Jacksonville School District,Jacksonville,Morgan,Illinois
Jasper Community Consolidated School District,Jasper,Stephenson,Illinois
Jasper County Community Unit School District,Newton,Jasper,Illinois
Jersey Community Unit School District,Jerseyville,Jersey,Illinois
Johnsburg Community Unit School District,Johnsburg,McHenry,Illinois
Johnston City Community Unit School District,Johnston City,Williamson,Illinois
Joliet Public Schools District,Joliet,Will,Illinois
Joliet Township High School District,Joliet,Will,Illinois
Jonesboro Elementary School District,Jonesboro,Union,Illinois
Joppa-Maple Grove Unit District,Joppa,Massac,Illinois
J. Sterling Morton High School District,Cicero,Cook,Illinois
Kaneland Community Unit School District,Maple Park,Kane,Illinois
Kankakee School District,Kankakee,Kankakee,Illinois
Kansas Community Unit School District,Kansas,Edgar,Illinois
Keeneyville School District,Hanover Park,DuPage,Illinois
Kell Consolidated School District,Kell,Marion,Illinois
Kenilworth School District,Kenilworth,Cook,Illinois
Kewanee Community Unit School District,Kewanee,Henry,Illinois
Kildeer Countryside Community Consolidated School District,Long Grove,Lake,Illinois
Kings Consolidated School District,Kings,Ogle,Illinois
Kinnikinnick Community Consolidated School District,Roscoe,Winnebago,Illinois
Kirby School District,Algonquin,McHenry,Illinois
