School District,City,County,State
Oneonta City School District,Oneonta,Otsego,New York
Onondaga Central School District,Onondaga,Onondaga,New York
Onteora Central School District,Boiceville,Ulster,New York
Oppenheim-Ephratah Central School District,St. Johnsville,Montgomery,New York
Orchard Park Central School District,Orchard Park,Erie,New York
Oriskany Central School District,Oriskany,Oneida,New York
Ossining Union Free School District,Ossining,Westchester,New York
Oswego City School District,Oswego,Oswego,New York
Owego Apalachin Central School District,Owego,Tioga,New York
Owen D. Young Central School District,Van Hornesville,Herkimer,New York
Oxford Academy and Central School District,Oxford,Chenango,New York
Oyster Bay-East Norwich Central School District,Oyster Bay,Nassau,New York
Oysterponds Union Free School District,Orient,Suffolk,New York
Palmyra-Macedon Central School District,Palmyra,Wayne,New York
Panama Central School District,Panama,Chautauqua,New York
Parishville-Hopkinton Central School District,Parishville,St. Lawrence,New York
Patchogue-Medford Union Free School District,Patchogue,Suffolk,New York
Pavilion Central School District,Pavilion,Genesee,New York
Pawling Central School District,Pawling,Dutchess,New York
Pearl River Union Free School District,Pearl River,Rockland,New York
Peekskill City School District,Peekskill,Westchester,New York
Pelham Union Free School District,Pelham,Westchester,New York
Pembroke Central School District,Pembroke,Genesee,New York
Penfield Central School District,Penfield,Monroe,New York
Penn Yan Central School District,Penn Yan,Yates,New York
Perry Central School District,Perry,Wyoming,New York
Peru Central School District,Peru,Clinton,New York
Phelps-Clifton Springs Central School District,Clifton Springs,Ontario,New York
Phoenix Central School District,Phoenix,Oswego,New York
Pine Bush Central School District,Pine Bush,Orange,New York
Pine Plains Central School District,Pine Plains,Dutchess,New York
Pine Valley Central School District,South Dayton,Chautauqua,New York
Piseco Common School District,Piseco,Hamilton,New York
Pittsford Central School District,Pittsford,Monroe,New York
Plainedge Union Free School District,Massapequa,Nassau,New York
Plainview-Old Bethpage Central School District,Plainview,Nassau,New York
Plattsburgh City School District,Plattsburgh,Clinton,New York
Pleasantville Union Free School District,Pleasantville,Westchester,New York
Pocantico Hills Central School District,Sleepy Hollow,Westchester,New York
Poland Central School District,Poland,Herkimer,New York
Port Byron Central School District,Port Byron,Cayuga,New York
Port Chester School District,Port Chester,Westchester,New York
Port Jefferson Union Free School District,Port Jefferson,Suffolk,New York
Port Jervis City School District,Port Jervis,Orange,New York
Portville Central School District,Portville,Cattaraugus,New York
Port Washington Union Free School District,Port Washington,Nassau,New York
Potsdam Central School District,Potsdam,St. Lawrence,New York
Poughkeepsie City School District,Poughkeepsie,Dutchess,New York
Prattsburgh Central School District,Prattsburgh,Steuben,New York
Pulaski Central School District,Pulaski,Oswego,New York
Putnam Central School District,Putnam Valley,Putnam,New York
Putnam Valley Central School District,Putnam Valley,Putnam,New York
Queensbury Union Free School District,Queensbury,Warren,New York
Quogue Union Free School District,Quogue,Suffolk,New York
Randolph Central School District,Randolph,Cattaraugus,New York
Raquette Lake Union Free School District,Raquette Lake,Hamilton,New York
Ravena-Coeymans-Selkirk Central School District,Ravena,Albany,New York
Red Creek Central School District,Red Creek,Wayne,New York
Red Hook Central School District,Red Hook,Dutchess,New York
Remsenburg-Speonk Union Free School District,Remsenburg,Suffolk,New York
Remsen Central School District,Remsen,Oneida,New York
Rensselaer City School District,Rensselaer,Rensselaer,New York
Rhinebeck Central School District,Rhinebeck,Dutchess,New York
Richfield Springs Central School District,Richfield Springs,Otsego,New York
Ripley Central School District,Ripley,Chautauqua,New York
Riverhead Central School District,Riverhead,Suffolk,New York
Rochester City School District,Rochester,Monroe,New York
Rockville Centre Union Free School District,Rockville Centre,Nassau,New York
Rocky Point Union Free School District,Rocky Point,Suffolk,New York
Rome City School District,Rome,Oneida,New York
Romulus Central School District,Romulus,Seneca,New York
Rondout Valley Central School District,Accord,Ulster,New York
Roosevelt Union Free School District,Roosevelt,Nassau,New York
Roscoe Central School District,Roscoe,Sullivan,New York
Roslyn Union Free School District,Roslyn,Nassau,New York
Rotterdam-Mohonasen Central School District,Schenectady,Schenectady,New York
Roxbury Central School District,Roxbury,Delaware,New York
Royalton-Hartland Central School District,Middleport,Niagara,New York
Rush-Henrietta Central School District,Henrietta,Monroe,New York
Rye City School District,Rye,Westchester,New York
Rye Neck Union Free School District,Mamaroneck,Westchester,New York
Sachem Central School District,Lake Ronkonkoma,Suffolk,New York
Sackets Harbor Central School District,Sackets Harbor,Jefferson,New York
Sagaponack Common School District,Sagaponack,Suffolk,New York
Sag Harbor Union Free School District,Sag Harbor,Suffolk,New York
Salamanca City Central School District,Salamanca,Cattaraugus,New York
Salem Central School District,Salem,Washington,New York
Salmon River Central School District,Fort Covington,Franklin,New York
Sandy Creek Central School District,Sandy Creek,Oswego,New York
Saranac Central School District,Dannemora,Clinton,New York
Saranac Lake Central School District,Saranac Lake,Franklin,New York
Saratoga Springs City School District,Saratoga Springs,Saratoga,New York
Saugerties Central School District,Saugerties,Ulster,New York
Sauquoit Valley Central School District,Sauquoit,Oneida,New York
Sayville Union Free School District,Sayville,Suffolk,New York
Scarsdale Union Free School District,Scarsdale,Westchester,New York
Schalmont Central School District,Rotterdam,Schenectady,New York
Schenectady City School District,Schenectady,Schenectady,New York
Schenevus Central School District,Schenevus,Otsego,New York
Schodack Central School District,Castleton-on-Hudson,Rensselaer,New York
Schoharie Central School District,Schoharie,Schoharie,New York
Schroon Lake Central School District,Schroon Lake,Essex,New York
Schuylerville Central School District,Schuylerville,Saratoga,New York
Scio Central School District,Scio,Allegany,New York
Scotia-Glenville Central School District,Scotia,Schenectady,New York
