School District,City,County,State
Tyrone Area School District,Tyrone,Blair,Pennsylvania
Union Area School District,New Castle,Lawrence,Pennsylvania
Union City Area School District,Union City,Erie,Pennsylvania
Union School District,Rimersburg,Clarion,Pennsylvania
Uniontown Area School District,Uniontown,Fayette,Pennsylvania
Unionville-Chadds Ford School District,Kennett Square,Chester,Pennsylvania
United School District,Armagh,Indiana,Pennsylvania
Upper Adams School District,Biglerville,Adams,Pennsylvania
Upper Darby School District,Upper Darby,Delaware,Pennsylvania
Upper Dauphin Area School District,Lykens,Dauphin,Pennsylvania
Upper Dublin School District,Maple Glen,Montgomery,Pennsylvania
Upper Merion Area School District,King of Prussia,Montgomery,Pennsylvania
Upper Moreland Township School District,Willow Grove,Montgomery,Pennsylvania
Upper Perkiomen School District,Pennsburg,Montgomery,Pennsylvania
Upper St. Clair School District,Upper St. Clair,Allegheny,Pennsylvania
Valley Grove School District,Franklin,Venango,Pennsylvania
Valley View School District,Archbald,Lackawanna,Pennsylvania
Wallenpaupack Area School District,Hawley,Wayne,Pennsylvania
Wallingford-Swarthmore School District,Wallingford,Delaware,Pennsylvania
Warren County School District,Warren,Warren,Pennsylvania
Warrior Run School District,Turbotville,Northumberland,Pennsylvania
Warwick School District,Lititz,Lancaster,Pennsylvania
Washington School District,Washington,Washington,Pennsylvania
Wattsburg Area School District,Wattsburg,Erie,Pennsylvania
Wayne Highlands School District,Honesdale,Wayne,Pennsylvania
Waynesboro Area School District,Waynesboro,Franklin,Pennsylvania
Weatherly Area School District,Weatherly,Carbon,Pennsylvania
Wellsboro Area School District,Wellsboro,Tioga,Pennsylvania
West Allegheny School District,Imperial,Allegheny,Pennsylvania
West Branch Area School District,Morrisdale,Clearfield,Pennsylvania
West Chester Area School District,Exton,Chester,Pennsylvania
Western Beaver County School District,Midland,Beaver,Pennsylvania
Western Wayne School District,Lake Ariel,Wayne,Pennsylvania
West Greene School District,Waynesburg,Greene,Pennsylvania
West Jefferson Hills School District,Jefferson Hills,Allegheny,Pennsylvania
West Middlesex Area School District,West Middlesex,Mercer,Pennsylvania
West Mifflin Area School District,West Mifflin,Allegheny,Pennsylvania
Westmont Hilltop School District,Johnstown,Cambria,Pennsylvania
West Perry School District,Elliottsburg,Perry,Pennsylvania
West Shore School District,New Cumberland,Cumberland,Pennsylvania
West York Area School District,York,York,Pennsylvania
Whitehall-Coplay School District,Whitehall,Lehigh,Pennsylvania
Wilkes-Barre Area School District,Wilkes-Barre,Luzerne,Pennsylvania
Wilkinsburg Borough School District,Wilkinsburg,Allegheny,Pennsylvania
William Penn School District,Lansdowne,Delaware,Pennsylvania
